n        | Insert Min   | Count    | Insert Avg   | Count    | Insert Max   | Count    | Theoretical (i) | Search Min   | Count    | Search Avg   | Count    | Search Max   | Count    | Theoretical (s)
5        | 1.40         | 7        | 1.48         | 5        | 1.60         | 8        | 2.32            | 1.20         | 6        | 1.20         | 5        | 1.20         | 6        | 2.32        
50       | 4.34         | 217      | 4.42         | 200      | 4.50         | 225      | 5.64            | 3.86         | 193      | 3.94         | 150      | 4.00         | 200      | 5.64        
500      | 7.68         | 3842     | 7.73         | 3500     | 7.81         | 3906     | 8.97            | 5.73         | 573      | 5.84         | 500      | 6.04         | 604      | 8.97        
1000     | 8.65         | 8648     | 8.73         | 8000     | 8.80         | 8797     | 9.97            | 5.94         | 594      | 6.19         | 600      | 6.42         | 642      | 9.97        
2500     | 10.03        | 25085    | 10.07        | 25000    | 10.10        | 25261    | 11.29           | 6.26         | 626      | 6.65         | 600      | 7.01         | 701      | 11.29       
5000     | 11.02        | 55100    | 11.08        | 55000    | 11.16        | 55809    | 12.29           | 6.72         | 672      | 6.91         | 600      | 7.07         | 707      | 12.29       
7500     | 11.65        | 87402    | 11.69        | 82500    | 11.75        | 88088    | 12.87           | 6.69         | 669      | 7.05         | 700      | 7.37         | 737      | 12.87       
10000    | 12.05        | 120540   | 12.09        | 120000   | 12.12        | 121220   | 13.29           | 6.98         | 698      | 7.15         | 700      | 7.35         | 735      | 13.29       
25000    | 13.40        | 335101   | 13.43        | 325000   | 13.45        | 336199   | 14.61           | 6.84         | 684      | 7.27         | 700      | 7.73         | 773      | 14.61       
50000    | 14.43        | 721278   | 14.45        | 700000   | 14.48        | 723952   | 15.61           | 7.14         | 714      | 7.54         | 700      | 7.98         | 798      | 15.61       
