n,insert_min,insert_avg,insert_max,search_min,search_avg,search_max,theoretical_log2n
n        | Insert Min   | Insert Avg   | Insert Max   | Search Min   | Search Avg   | Search Max   | Theoretical 
5        | 1            | 1.42         | 1            | 1            | 1.20         | 1            | 2.32        
n        | Insert Min   | Insert Avg   | Insert Max   | Search Min   | Search Avg   | Search Max   | Theoretical 
50       | 4            | 4.43         | 4            | 3            | 3.94         | 4            | 5.64        
n        | Insert Min   | Insert Avg   | Insert Max   | Search Min   | Search Avg   | Search Max   | Theoretical 
500      | 7            | 7.71         | 7            | 5            | 5.77         | 5            | 8.97        
n        | Insert Min   | Insert Avg   | Insert Max   | Search Min   | Search Avg   | Search Max   | Theoretical 
1000     | 8            | 8.72         | 8            | 6            | 6.21         | 6            | 9.97        
n        | Insert Min   | Insert Avg   | Insert Max   | Search Min   | Search Avg   | Search Max   | Theoretical 
2500     | 10           | 10.08        | 10           | 6            | 6.66         | 6            | 11.29       
n        | Insert Min   | Insert Avg   | Insert Max   | Search Min   | Search Avg   | Search Max   | Theoretical 
5000     | 11           | 11.08        | 11           | 6            | 6.83         | 7            | 12.29       
n        | Insert Min   | Insert Avg   | Insert Max   | Search Min   | Search Avg   | Search Max   | Theoretical 
7500     | 11           | 11.67        | 11           | 6            | 7.02         | 7            | 12.87       
n        | Insert Min   | Insert Avg   | Insert Max   | Search Min   | Search Avg   | Search Max   | Theoretical 
10000    | 12           | 12.09        | 12           | 6            | 7.14         | 7            | 13.29       
n        | Insert Min   | Insert Avg   | Insert Max   | Search Min   | Search Avg   | Search Max   | Theoretical 
25000    | 13           | 13.44        | 13           | 6            | 7.14         | 7            | 14.61       
n        | Insert Min   | Insert Avg   | Insert Max   | Search Min   | Search Avg   | Search Max   | Theoretical 
50000    | 14           | 14.46        | 14           | 7            | 7.59         | 8            | 15.61       
