n        | Insert Min   | Insert Avg   | Insert Max   | Theoretical (i) | Search Min   | Search Avg   | Search Max   | Theoretical (s)
5        | 1            | 1.46         | 1            | 2.32            | 1            | 1.20         | 1            | 2.32        
50       | 4            | 4.45         | 4            | 5.64            | 3            | 3.95         | 4            | 5.64        
500      | 7            | 7.71         | 7            | 8.97            | 5            | 5.80         | 5            | 8.97        
1000     | 8            | 8.72         | 8            | 9.97            | 5            | 6.13         | 6            | 9.97        
2500     | 10           | 10.06        | 10           | 11.29           | 6            | 6.49         | 6            | 11.29       
5000     | 11           | 11.08        | 11           | 12.29           | 6            | 6.91         | 7            | 12.29       
7500     | 11           | 11.68        | 11           | 12.87           | 6            | 6.97         | 7            | 12.87       
10000    | 12           | 12.11        | 12           | 13.29           | 6            | 7.01         | 7            | 13.29       
25000    | 13           | 13.44        | 13           | 14.61           | 7            | 7.35         | 7            | 14.61       
50000    | 14           | 14.48        | 14           | 15.61           | 6            | 7.36         | 7            | 15.61       
