n        | Insert Min   | Insert Avg   | Insert Max   | Search Min   | Search Avg   | Search Max   | Theoretical 
5        | 1            | 1.40         | 1            | 1            | 1.20         | 1            | 2.32        
50       | 4            | 4.40         | 4            | 3            | 3.93         | 4            | 5.64        
500      | 7            | 7.71         | 7            | 5            | 5.78         | 5            | 8.97        
1000     | 8            | 8.73         | 8            | 5            | 6.19         | 6            | 9.97        
2500     | 10           | 10.07        | 10           | 6            | 6.58         | 6            | 11.29       
5000     | 11           | 11.09        | 11           | 6            | 6.78         | 7            | 12.29       
7500     | 11           | 11.69        | 11           | 6            | 7.01         | 7            | 12.87       
10000    | 12           | 12.10        | 12           | 6            | 7.17         | 7            | 13.29       
25000    | 13           | 13.45        | 13           | 6            | 7.29         | 7            | 14.61       
50000    | 14           | 14.47        | 14           | 7            | 7.58         | 8            | 15.61       
