n        | Insert Min   | Count    | Insert Avg   | Count    | Insert Max   | Count    | Theoretical (i) | Search Min   | Count    | Search Avg   | Count    | Search Max   | Count    | Theoretical (s)
5        | 1.20         | 6        | 1.42         | 7        | 1.60         | 8        | 2.32            | 1.20         | 6        | 1.20         | 6        | 1.20         | 6        | 2.32        
50       | 4.28         | 214      | 4.42         | 221      | 4.56         | 228      | 5.64            | 3.86         | 193      | 3.92         | 196      | 3.98         | 199      | 5.64        
500      | 7.65         | 3827     | 7.71         | 3866     | 7.81         | 3905     | 8.97            | 5.56         | 556      | 5.78         | 575      | 5.94         | 594      | 8.97        
1000     | 8.64         | 8638     | 8.73         | 8730     | 8.82         | 8823     | 9.97            | 6.06         | 606      | 6.21         | 625      | 6.45         | 645      | 9.97        
2500     | 10.02        | 25062    | 10.05        | 25195    | 10.13        | 25328    | 11.29           | 6.21         | 621      | 6.60         | 654      | 6.88         | 688      | 11.29       
5000     | 11.05        | 55241    | 11.08        | 55539    | 11.17        | 55837    | 12.29           | 6.62         | 662      | 6.86         | 700      | 7.39         | 739      | 12.29       
7500     | 11.63        | 87255    | 11.67        | 87603    | 11.73        | 87952    | 12.87           | 6.87         | 687      | 7.01         | 701      | 7.15         | 715      | 12.87       
10000    | 12.05        | 120537   | 12.10        | 120996   | 12.15        | 121456   | 13.29           | 6.61         | 661      | 6.89         | 686      | 7.11         | 711      | 13.29       
25000    | 13.40        | 335111   | 13.44        | 336421   | 13.51        | 337732   | 14.61           | 7.15         | 715      | 7.47         | 745      | 7.75         | 775      | 14.61       
50000    | 14.40        | 720160   | 14.46        | 722727   | 14.51        | 725294   | 15.61           | 7.29         | 729      | 7.53         | 765      | 8.01         | 801      | 15.61       
